tweet_id, user_id
'453503483027935232','370407497'
'453503558680592384','48757284'
'453503585397907456','1403574307'
'453503589844254720','48757284'
'453503608701452288','1403574307'
'453503626217267200','48757284'
'453503824901443584','48757284'
'453503897953656832','48757284'
'453504164778106880','1403574307'
'453504196407328768','116253691'
'453504547575455744','1403574307'
'453504720397541376','14471487'
'453504843479404544','1403574307'
'453504868041256961','1403574307'
'453504907316711424','1403574307'
'453504914941956096','64920772'
'453504929668157441','186282830'
'453504936173924352','240437672'
'453505478874890240','2173606725'
'453506179180670976','88436252'
'453506260508213249','404001399'
'453508233656016896','179807655'
'453508282104430592','981589603'
'453508380347215874','2270482320'
'453508633767473152','54264954'
'453509250548260864','218027624'
'453509253026689024','2291670805'
'453509396296126464','623258790'
'453509726483927040','86122170'
'453509891219808257','36760934'
'453509953127710721','55135789'
'453510088863387648','370407497'
'453510385384304640','82878656'
'453510704285249536','521999834'
'453511369443131392','370407497'
'453511789939294209','16080891'
'453511820918411264','104257725'
'453512016435875840','2327527700'
'453535756883996673','607672450'
'453537173145280513','535988913'
'453538265065607168','2361893197'
'453538283427864576','23010592'
'453538528488460288','338465827'
'453538536709312512','2411738820'
'453538541218193408','2411768239'
'453538548180721664','2411739817'
'453538553495298048','25128281'
'453538553767534592','2411765432'
'453538650677325825','193255505'
'453538847079407616','2151499746'
'453539410999791616','128917051'
'453539436413067265','128917051'
'453539450078126082','128917051'
'453539463541841920','128917051'
'453539496676851713','128917051'
'453539508815163392','128917051'
'453539578519887872','2280346466'
'453539979109478401','238153753'
'453540281887883266','43468672'
'453540411060260865','36760934'
'453540421579182080','153777396'
'453541105154260992','852571572'
'453541144048046080','58510019'
'453541881419276289','468841551'
'453541921190084610','525940079'
'453542982583459841','728957455'
'453543236573728769','573697588'
'453543581589188609','210660606'
'453544301419839489','89719937'
'453544334684852224','906539622'
'453545443205861376','285129458'
'453545562185281536','21276122'
'453545570666553344','548352901'
'453546333412925440','18274279'
'453546339209461760','282688261'
'453546343944826880','2421164293'
'453546388689678336','118370143'
'453546505668804608','34379948'
'453546887472103424','338465827'
'453547441640329217','73671320'
'453547626781499392','271571070'
'453548199471353856','41990408'
'453548225459265536','29094252'
'453548299216109568','1403574307'
'453548402555379713','1403574307'
'453548618512072704','23094911'
'453549071827873792','1403574307'
'453549091146838017','1403574307'
'453549150416560128','1403574307'
'453549347909926912','36480504'
'453549387243716610','187181497'
'453549460782874624','494029723'
'453549511973957632','1403574307'
'453549966242615296','1104481614'
'453550205682450432','1403574307'
'453550352533848064','176610516'
'453551686854787072','217597484'
'453552359017164800','2424292656'
'453553224885080064','607672450'
'453553885559267328','22045168'
'453554352062353408','370407497'
'453554377190436865','975247506'
'453554947955900416','1644860774'
'453555209709445120','1315425206'
'453555420343590912','2214213606'
'453555581819695104','338465827'
'453555611637407744','494029723'
'453555632746946560','919927818'
'453556278573293569','18274279'
'453556814534037504','919927818'
'453557283918602240','317915511'
'453558184397897728','2235828998'
'453558232209166336','253955658'
'453558347921633280','232678349'
'453558348374622208','2423797621'
'453558440485715968','1712538170'
'453559024462868481','1851744114'
'453559147599261696','21324543'
'453559837834489856','338465827'
'453562106931994625','2235828998'
'453562891531079680','913176073'
'453562930433236992','43468672'
'453563317504577537','1403574307'
'453563592822906880','36760934'
'453563616269045762','36760934'
'453563650465206272','370407497'
'453563740168810496','36760934'
'453563939570192384','36760934'
'453564330542260225','36760934'
'453564405574164480','36760934'
'453564453993197568','36760934'
'453564556103540736','36760934'
'453564639435948032','390033397'
'453564917686497280','107816182'
'453564948321677312','2411604105'
'453565191397982209','370407497'
'453565539000938496','919927818'
'453565717481140224','536561965'
'453565843327053824','36760934'
'453565978459516928','2420375107'
'453566016610521088','182752250'
'453566063829991424','36760934'
'453566123846275072','369782171'
'453566295066177538','2270482320'
'453566506383589376','294169449'
'453566505922621441','882652698'
'453566725292711936','2317606406'
'453567115555901440','338465827'
'453567232443158528','399890246'
'453567347492925440','367938018'
'453567551658668032','370407497'
'453567767073931264','120375508'
'453567919474348032','21393581'
'453568803125747713','281194066'
'453569137533804544','130853790'
'453569249152221184','1624009405'
'453569452320509952','130853790'
'453569834098642944','1907767309'
'453570027493416961','119397731'
'453570210461540352','338465827'
'453570284537532416','633631067'
'453570403500568576','2241748218'
'453570480989945856','43468672'
'453570624007335936','30021534'
'453571262434930688','338465827'
'453571551263084545','21276122'
'453572254224621570','36760934'
'453572457572868096','709539721'
'453572715904249856','798877602'
'453572783159930880','260485499'
'453573330524991489','568229312'
'453573607520608257','18274279'
'453573620678152192','282688261'
'453573621558960128','282688261'
'453573622204866560','282688261'
'453573644711501824','22180593'
'453573647320358912','2421164293'
'453573648024997888','2421164293'
'453573648759005184','2421164293'
'453574257209925632','1948269487'
'453575044778561536','785671278'
'453575283518357506','122157972'
'453575448325132288','338465827'
'453575453278609409','1411297453'
'453575608891867137','1167799688'
'453576439347290112','1534176192'
'453576978570817536','117076755'
'453576999454273536','117076755'
'453578633068961792','1851744114'
'453578871267680256','74070601'
'453578919417872384','2435296265'
'453579061831294976','220361167'
'453579085206134784','221095860'
'453580178808004611','20071015'
'453580213863976960','120233447'
'453580418529243136','2274551330'
'453580420538310656','120233447'
'453580922550378496','410437234'
'453583180302258176','16451883'
'453583628631425024','14717982'
'453584576753836033','975247506'
'453585328616382465','338465827'
'453585354512429056','1053806036'
'453585990712832000','2468337604'
'453586457673105409','716371080'
'453586915132854272','269562876'
'453587193018454017','271003664'
'453588286850609152','370407497'
'453589156930027520','238777094'
'453589531778768896','728957455'
'453589733981949953','113737230'
'453589844300550144','370407497'
'453590048655421441','468841551'
'453590241677283328','728957455'
'453590263110578177','1919988974'
'453590458170871809','1919988974'
'453590835045466112','113737230'
'453591681712287744','36760934'
'453591896049201153','2151499746'
'453591903624511488','36760934'
'453591929708875776','36760934'
'453592229689688064','36760934'
'453592254062796800','36760934'
'453593496079695872','1609138676'
'453593583078346753','1403574307'
'453593790230851586','36760934'
'453593815715446784','36760934'
'453593919797088257','703741422'
'453593939388674048','156808573'
'453594127096369152','235435898'
'453594172222865408','1403574307'
'453594175410565120','555433928'
'453594335960133632','1403574307'
'453594342087999490','36760934'
'453594509352648705','1403574307'
'453594899074785280','97623499'
'453595149420228608','1403574307'
'453595367175905280','36760934'
'453595488634568706','2215044325'
'453595584503762944','197368286'
'453595586974199808','36760934'
'453595792344121344','1403574307'
'453595811272609792','265040624'
'453595872799236096','1403574307'
'453595894328594432','1403574307'
'453596133651410946','370407497'
'453596279755767809','1403574307'
'453597137117257728','265040624'
'453597175633969152','1297529113'
'453597335151706112','416424052'
'453597380495958016','265040624'
'453597529230163968','265040624'
'453597593017139200','265040624'
'453597949826576384','265040624'
'453598264945029120','1851744114'
'453598470889558016','65286727'
'453598491571650560','370407497'
'453598763068956672','338465827'
'453598910951751680','370407497'
'453598969482866688','1400924760'
'453599598255554560','597086480'
'453599644728451072','18274279'
'453600333717991424','269761858'
'453600350956965888','2420375107'
'453600683657535488','43468672'
'453601003536130048','560286482'
'453601557955629056','265040624'
'453602514454470656','607672450'
'453603327008579585','253955658'
'453603368242778114','159621328'
'453603458935816192','265040624'
'453603756564029440','494029723'
'453603819264679936','881129988'
'453604169262567424','525931641'
'453604244881674240','746455627'
'453605131456892929','1917399326'
'453605299552002048','2188051795'
'453605961325105152','338465827'
'453606533713395712','1712538170'
'453606737577508864','2188051795'
'453607292647112704','2270482320'
'453607293355978753','2270482320'
'453607769422057472','404545932'
'453607896610115584','2188051795'
'453608717007613952','36760934'
'453608725018722305','30457692'
'453608840404025344','1491535328'
'453608951376908288','36760934'
'453608958058852353','2449048871'
'453608996415750144','95211398'
'453609051897618432','190912337'
'453609130087833600','587825343'
'453609348531359744','36760934'
'453609518694293504','36760934'
'453609581487218689','36760934'
'453609708981460992','36760934'
'453609758692753408','840909558'
'453609861759377408','587825343'
'453610084208099328','1403574307'
'453610095729848320','1403574307'
'453610142542479360','36760934'
'453610284653891584','1403574307'
'453610287065620481','1403574307'
'453610348075966464','36760934'
'453610538509950977','36760934'
'453610880802885633','1403574307'
'453611100496338944','1403574307'
'453611239042609153','282688261'
'453611252229472257','2421164293'
'453611294600347648','1403574307'
'453611336719548416','36760934'
'453611521126301696','150766631'
'453611844263874560','36760934'
'453611991676907520','36760934'
'453612288936005632','170596316'
'453612638178521088','787909826'
'453613350195195904','370407497'
'453614032688148480','494029723'
'453614150279630849','156073580'
'453614252817801217','156073580'
'453614994429444096','1014308838'
'453615365616984064','337719698'
'453615630026305536','577826606'
'453615884796694528','772580930'
'453616057639374850','121750974'
'453616104683106305','577826606'
'453616354827186176','732944934'
'453616380756389889','2416579326'
'453616624658960385','494029723'
'453617414409043968','1851744114'
'453618760285306880','2253748614'
'453618907333820417','2195929768'
'453619322255323136','746455627'
'453619766251765760','1731481754'
'453620072477896704','68996935'
'453621062928838656','840909558'
'453621134433746944','286814303'
'453621382694195201','163180672'
'453621966247718912','136381121'
'453622175371517952','425346315'
'453622205889675264','425346315'
'453622223182766080','425346315'
'453622264756731906','425346315'
'453622314836701184','425346315'
'453622587629654016','1052937781'
'453622734564495360','1353765409'
'453622772560707584','2270482320'
'453622776507531264','2270482320'
'453622953477824513','330718446'
'453623342692446208','29323099'
'453623854347587585','1676036131'
'453623880142159872','2188051795'
'453623892699930624','2188051795'
'453624726108114945','220361167'
'453625443875553280','861783402'
'453625575756689409','278380616'
'453625592504528897','149508817'
'453625799375986689','2151499746'
'453626217741037568','329297648'
'453626276222210048','175007411'
'453626290009288705','563066242'
'453627337989312512','423739259'
'453628356265668608','238436945'
'453628364709183488','52433429'
'453628599384285184','1052381370'
'453628602991394817','338465827'
'453628740581335040','378522669'
'453629248519946241','570333412'
'453630679558139904','746455627'
'453630812299079680','12870332'
'453630951755505664','33860798'
'453630967182155777','33860798'
'453630987650359296','33860798'
'453631003521601537','33860798'
'453631025973710848','33860798'
'453631058290831360','33860798'
'453631099902496768','2287929384'
'453631455399133184','182752250'
'453631675650801664','625043260'
'453632143608934401','536561965'
'453632536069951488','840909558'
'453633349467140097','370407497'
'453633547157258240','338465827'
'453634419903832064','2420375107'
'453634419861897216','380985630'
'453634464275382272','398920983'
'453634605212368896','818553536'
'453634662972153856','586032981'
'453634918644346881','75111069'
'453635379963236352','728957455'
'453635771568644096','2412008113'
'453636006642593792','1851744114'
'453636423036321792','294169449'
'453636946355425280','346295300'
'453637962933080064','128002030'
'453638233444737025','2434241724'
'453638629605142528','841509164'
'453638656645812224','2423797621'
'453638806860603393','1403574307'
'453638811407228928','1403574307'
'453638844663857152','2402211268'
'453639025182507009','1403574307'
'453639042861527041','2202106154'
'453639449616740352','2188051795'
'453639456633802753','2188051795'
'453639594085326848','1403574307'
'453639759689048064','498503366'
'453639774482345985','16619763'
'453639864097861632','186700511'
'453640140485701633','1403574307'
'453640592447111169','1403574307'
'453640602689622017','338465827'
'453640803751976960','390940029'
'453640975819083776','1403574307'
'453641014821916673','1403574307'
'453641019330801664','1403574307'
'453641190856871938','525602197'
'453641325993136129','390033397'
'453641382964387840','13451802'
'453641645544583168','341675428'
'453641742604980224','370407497'
'453641791242108929','1403574307'
'453641839115919360','183311687'
'453642024185384962','36021489'
'453642446602108929','302820362'
'453643278731051008','126418836'
'453643320678285314','1297529113'
'453643363170779136','2198885990'
'453643374906441728','2188051795'
'453643386981867521','2188051795'
'453643701852459008','245822883'
'453644973208924162','975247506'
'453645256248942593','2157444210'
'453645362960420864','370407497'
'453645847943589888','119128058'
'453646283106816000','18594789'
'453646653279334400','227593004'
'453647352859877376','488533433'
'453647652626788353','2287566883'
'453648308720766977','203808805'
'453648419119063040','203808805'
'453648728046321665','253955658'
'453649481158766592','948316405'
'453649648926724096','73738547'
'453649947712172033','402648493'
'453651134616326144','919927818'
'453651770917412864','280738069'
'453651916749164544','2391918420'
'453652549862580225','198877620'
'453652995142467588','2230125140'
'453653202320101376','190624049'
'453653204287225856','629428899'
'453653431152955393','25675093'
'453653437394067456','1024752108'
'453653583582330880','282688261'
'453653593891958784','2421164293'
'453653631376429056','1851744114'
'453653747650920448','82518735'
'453654019307601920','36760934'
'453654557478772738','36760934'
'453654789746720768','1664939335'
'453655196413870080','36760934'
'453655302554939395','36760934'
'453655749676109824','919927818'
'453655877199724545','1534957177'
'453655931197222913','36760934'
'453656000822665216','36760934'
'453656129671684096','36760934'
'453656131974336512','36760934'
'453656515384070144','36760934'
'453656561215221760','36760934'
'453656624066879488','36760934'
'453657596805668864','370407497'
'453658345098846208','338465827'
'453658575911788544','29532157'
'453658953176465409','1358487656'
'453658968305319939','2188051795'
'453658974378680320','253615998'
'453658976928796672','2188051795'
'453659388428185600','2307470676'
'453659847209127936','128848618'
'453661073413914625','43468672'
'453661528680452096','56114479'
'453662505043103744','1653440485'
'453663463324532738','1093500992'
'453663625127809025','144365579'
'453664635233640450','2432952078'
'453664841446592514','331803536'
'453664871729487874','392344713'
'453665762733858816','220361167'
'453666595106066433','220361167'
'453667583183429632','254391695'
'453667733897363456','2206038469'
'453668129449992192','14679482'
'453668143517286400','6998002'
'453668397478584320','4067291'
'453670372869955584','101938046'
'453670523784794112','2188051795'
'453670528071372801','2188051795'
'453670531800121345','2188051795'
'453670535205888000','2188051795'
'453670738743291904','1851744114'
'453671176318242816','360771726'
'453671268676816896','2420375107'
'453671271952154624','1326496483'
'453671387774066690','321850004'
'453671831656861697','607672450'
'453672036699615233','338465827'
'453672230954622977','21630458'
'453672453550514176','39395970'
'453672648715694080','39395970'
